waktu,Fakultas,prodi,device,Gedung,lokasiakses,waktubermasalah,deskripsipengalaman,keluhanutama,yangdisukai,pesan,Tingkatkepuasan
2025/12/30 9:16:21 PM GMT+7,Ilmu Komputer,Sistem Informasi,Laptop,Gedung F,Ruang Kelas,Pagi (08.00 - 11.00),Emosi,"Lemot banget, gila",Gak ada,Tolong dong wifi nya lancar di semua gedungggg,Tidak Puas
2025/12/31 12:42:01 PM GMT+7,Teknologi Informasi,Sistem Informasi,Smartphone,Gedung A,Ruang Kelas;Kantin;Lab Komputer,Siang (11.00 - 14.00),Kurang,Kadang lemot,Gratis,Tolong buat lebih cepat,Tidak Puas
2026/01/01 5:06:08 PM GMT+7,Ilmu Komputer,Sistem Informasi brodie,Laptop,Gedung F,Perpustakaan;Ruang Kelas,Siang (11.00 - 14.00),Lambatnya mantap,"LELET JIR, GA LENGKAP DI SEMUA BANGUNAN",Lelet bund,Tambah bandwidth nya bwang flish,Sangat mengecewakan
2026/01/02 11:43:47 AM GMT+7,Ilmu komputer,Sistem Informasi,Smartphone,Gedung B,Perpustakaan;Lab Komputer,Siang (11.00 - 14.00),Nice,kadang lelet,gratis,jaringan belum mencapai semua daerah kampus untuk di akses,Netral
2026/01/02 11:58:49 AM GMT+7,Ilmu Komputer,Sistem Informasi,Laptop,Gedung F,Perpustakaan;Ruang Kelas;Lab Komputer,Siang (11.00 - 14.00),Lambat,Speed sangat tidak mencukupi untuk donwload software yang diminta dosen.,Tidak ada,Tingkatkan speed dan jangkauan,Sangat mengecewakan
2026/01/02 12:19:30 PM GMT+7,Ilmu Komputer,Sistem Informasi ,Laptop,Gedung B,Perpustakaan,Sore (14.00 - 17.00),Agak emosi sedikit,Agak lelet,Gada yang di sukai soal nya agak lelet ,Perbanyak wifi di setiap sudutnya ckck,Tidak Puas
2026/01/02 4:54:42 PM GMT+7,ilmu komputer,sistem informasi,Laptop,Gedung D,Perpustakaan;Ruang Kelas,Siang (11.00 - 14.00),lemot sekali,sulit untuk menggunakannya karena jaringan yang buruk,jangkauan luas tapi koneksinya buruk,untuk jangkauannya dan kapasitas nya diperbesar lagi,Netral
2026/01/02 10:26:30 PM GMT+7,Ilmu komputer,Sistem informasi,Smartphone,Gedung B,Ruang Kelas;Lab Komputer,Sore (14.00 - 17.00),Mantap,Tidak ada,Jangkauan luas,Tidak ada,Netral
2026/01/03 4:22:41 PM GMT+7,ekonomi dan bisnis,manajemen,Smartphone,Gedung A,Lab Komputer,Siang (11.00 - 14.00),lambat,eror,jangkauan luas,memperbanyak jaringan ,Netral
2026/01/04 12:18:57 AM GMT+7,ILMU KOMPUTER,TEKNIK INFORMATIKA,Smartphone,Gedung H,Ruang Kelas;Lab Komputer,Sore (14.00 - 17.00),LAMBAT,terkadang jaringannya lambat dan tiba-tiba putus koneksi,gratis,"tolong jangkauan wifinya diperluas hingga ke lantai paling atas dan lokal paling ujung, kadang wifinya ga sampai seperti di kelas H8, H9",Netral
2026/01/08 5:44:38 PM GMT+7,Ekonomi dan bisnis,Manajemen,Laptop,Dekanat Filkom,Perpustakaan,Siang (11.00 - 14.00),Mantap,Sedikit lelet kalau sudah banyak yang mengaksesnya,Jangkauan luas,"Saran saya tambah kapasitas buat wifinya,agar tidak lelet lagi ketika sudah banyak yang mengaksesnya",Puas
2026/01/11 9:17:04 AM GMT+7,ilmu komputer,sistem informasi,Smartphone,Gedung B,Lab Komputer,Siang (11.00 - 14.00),lambat,jaringan nya hilang2 timbul,sedikit membantu saat kuota tidak ada,tambah kecepatan jaringan nya hehe,Tidak Puas
2026/01/11 9:18:07 AM GMT+7,Ekonomi dan Bisnis,Akuntansi,Laptop,UPICC,Perpustakaan,Pagi (08.00 - 11.00),Mantap,Koneksi tidak stabil,Gratis,Koneksi yg lambat,Netral
2026/01/11 10:50:53 AM GMT+7,Ilkom,Sistem informasi,Smartphone,Gedung A,Ruang Kelas,Sore (14.00 - 17.00),Lambat dan terkadang tiba tiba konek tiba tiba hilang,Lambat ,Gratis,Tolong adakan wifi di setiap gedung dan di setiap lantai,Netral
2026/01/11 11:28:38 AM GMT+7,Filkom,SISTEM INFORMASI ,Laptop,Gedung H,Perpustakaan,Siang (11.00 - 14.00),Lambat,"Lelet banget, ga bersinyal",Minuss,Perbaiki sinyal dan luas jangkauan wifi. ,Tidak Puas
2026/01/11 11:50:10 AM GMT+7,Ilmu Komputer,Sistem Informasi,Smartphone,Gedung D,Ruang Kelas,Siang (11.00 - 14.00),Lambat,"Lelet, kadang susah connect",Gratis,Ga ada sih,Tidak Puas
2026/01/11 12:20:34 PM GMT+7,Ilmu komputer ,Sistem informasi ,Smartphone,Gedung B,Perpustakaan,Siang (11.00 - 14.00),Lumayan ,Masih ada kelas yang belum terjangkau,B aja,Tambahin kecepatan dan jangkauan nya ,Puas
2026/01/11 5:38:50 PM GMT+7,Ilmu komputer ,Sistem informasi ,Smartphone,Gedung H,Perpustakaan,Siang (11.00 - 14.00),Sedikit Lambat,Kurang kencang ,Gratis,Upgrade kecepatan nya,Netral
2026/01/11 10:55:48 PM GMT+7,Ilmu Komputer,Sistem Komputer,Smartphone,Gedung B,Lab Komputer,Siang (11.00 - 14.00),Emosi,"Agak lelet ya, kadang kenceng kafang ga bisa samsek",Gak ada,Kencengin lagi pls,Tidak Puas
2026/01/11 10:58:05 PM GMT+7,,,Smartphone,Gedung H,Ruang Kelas,Siang (11.00 - 14.00),LELET,"Lelet banget aslian, mana kalo pake kuota juga lelet",Ga ada,Bentulin lagi,Tidak Puas
